"","Model","MSE"
"14","xgboost",2401.0126717759
"15","cubist",2478.94610539431
"9","kknn",2553.13712954554
"10","ksvm",2698.58569508029
"17","mr",2968.16833749487
"20","plsr",2968.16834794296
"21","cppls",2968.16834794296
"19","pcr",2968.16834794296
"16","lm",2968.16834794297
"2","auto.arima",3513.56716156888
"22","rvm",3888.22036980957
"13","randomForest",3988.2655708031
"6","ctree",4056.26630352549
"1","HW",4088.35830462363
"12","mlpe",4493.74278815218
"8","rpart",4624.89353447987
"3","ets",4876.04722508348
"18","mars",5415.01119530055
"11","mlp",5710.18628220945
"7","cv.glmnet",6619.42389074922
"5","naive",7085.37620725448
"4","nnetar",11852.5165026558
