"","Model","RMSE"
"9","randomForest",95.1
"7","mlp",97.9
"8","mlpe",98.7
"11","cubist",100.1
"2","ctree",101
"4","rpart",101
"6","ksvm",102.2
"10","xgboost",108.4
"12","lm",109.2
"13","mr",109.2
"15","pcr",109.2
"16","plsr",109.2
"17","cppls",109.2
"1","naive",109.8
"3","cv.glmnet",110.2
"18","rvm",114.7
"14","mars",150.8
"5","kknn",170.3
